,,ADJ,ADP,ADV,AUX,CCONJ,DET,INTJ,NOUN,NUM,PART,PRON,PROPN,PUNCT,SCONJ,SYM,VERB,accuracy,macro avg,weighted avg,X
mos,f1-score,0.5569620253164556,0.7822878228782287,0.564516129032258,0.8410404624277457,0.9069767441860466,0.7141774071266112,,0.8193230573653267,0.8801261829652998,0.8659184878913171,0.7262723521320494,0.6615168539325843,0.9964320467077521,0.8987626546681664,0.0,0.8155757286192068,0.8281325788197251,0.73532586368327,0.8264062085439308,
mos,support,133.0,271.0,194.0,358.0,481.0,692.0,,3135.0,328.0,819.0,708.0,777.0,1545.0,872.0,0.0,2057.0,0.8281325788197251,12370.0,12370.0,
nya,precision,0.5828779599271403,0.61703511053316,0.5674603174603174,0.1,0.6035313001605136,0.7325581395348837,0.0,0.6243885394828791,0.9193548387096774,0.0,0.6426666666666667,0.4962264150943396,1.0,0.5,,0.5357927097057532,0.61977263499797,0.5281261331516888,0.6139145377934688,
nya,recall,0.403530895334174,0.7948073701842546,0.31222707423580787,0.00909090909090909,0.7161904761904762,0.8076923076923077,0.0,0.7837719298245615,0.252212389380531,0.0,0.5285087719298246,0.34424083769633507,0.9486823855755895,0.022727272727272728,,0.5754716981132075,0.61977263499797,0.43327695453168336,0.61977263499797,
nya,f1-score,0.47690014903129657,0.6947291361639825,0.4028169014084507,0.016666666666666666,0.6550522648083624,0.7682926829268293,0.0,0.6950602878257487,0.39583333333333337,0.0,0.5800240673886884,0.40649149922720246,0.9736654804270463,0.04347826086956522,,0.5549238116897885,0.61977263499797,0.4442623027844641,0.6018437675674319,
nya,support,793.0,1194.0,458.0,110.0,525.0,78.0,5.0,2280.0,226.0,34.0,456.0,764.0,721.0,88.0,,2120.0,0.61977263499797,9852.0,9852.0,
lug,precision,0.7021276595744681,0.7333333333333333,0.8,0.714859437751004,0.820855614973262,0.5131195335276968,,0.7299610894941634,0.7560975609756098,0.68,0.0,0.6472019464720195,1.0,0.885,,0.5696926375982845,0.7263917525773196,0.6823034866928458,0.7193909037583119,
lug,recall,0.36666666666666664,0.9379310344827586,0.46153846153846156,0.43734643734643736,0.8480662983425414,0.5349544072948328,,0.8082722964239551,0.7315634218289085,0.9444444444444444,0.0,0.5984251968503937,0.9870740305522914,0.8676470588235294,,0.5151906916612798,0.7263917525773196,0.6456514604468929,0.7263917525773196,
lug,f1-score,0.4817518248175182,0.8231086657496561,0.5853658536585367,0.5426829268292683,0.8342391304347826,0.5238095238095238,,0.7671232876712328,0.7436281859070465,0.7906976744186047,0.0,0.6218585622443015,0.9934949733885274,0.8762376237623763,,0.5410726408689749,0.7263917525773196,0.651790776682882,0.7155258276020166,
lug,support,450.0,1595.0,130.0,407.0,362.0,329.0,,2321.0,339.0,18.0,54.0,889.0,851.0,408.0,,1547.0,0.7263917525773196,9700.0,9700.0,
