,,ADJ,ADP,ADV,AUX,CCONJ,DET,INTJ,NOUN,NUM,PART,PRON,PROPN,PUNCT,SCONJ,SYM,VERB,X,accuracy,macro avg,weighted avg
nya,precision,0.5577211394302849,0.627514600908501,0.6261261261261262,0.23076923076923078,0.6254071661237784,0.7325581395348837,0.0,0.6921545201115094,0.7857142857142857,0.0,0.6366197183098592,0.3965702036441586,0.9985422740524781,1.0,,0.5913978494623656,,0.6373325213154689,0.5667396836124975,0.6394466460935047
nya,recall,0.4691046658259773,0.8098827470686767,0.3034934497816594,0.02727272727272727,0.7314285714285714,0.8076923076923077,0.0,0.762280701754386,0.2920353982300885,0.0,0.4956140350877193,0.48429319371727747,0.9500693481276006,0.011363636363636364,,0.5966981132075472,,0.6373325213154689,0.44941525970387836,0.6373325213154689
nya,f1-score,0.5095890410958904,0.7071297989031078,0.4088235294117647,0.04878048780487805,0.6742756804214223,0.7682926829268293,0.0,0.725527029847631,0.4258064516129032,0.0,0.5573366214549939,0.4360636417206835,0.9737029140014215,0.02247191011235955,,0.5940361587227049,,0.6373325213154689,0.4567890632024393,0.624852991722519
nya,support,793.0,1194.0,458.0,110.0,525.0,78.0,5.0,2280.0,226.0,34.0,456.0,764.0,721.0,88.0,,2120.0,,0.6373325213154689,9852.0,9852.0
lug,precision,0.6711864406779661,0.7309546769527483,0.7263157894736842,0.6768802228412256,0.8252688172043011,0.6024096385542169,,0.7703081232492998,0.7964071856287425,0.7083333333333334,0.0,0.7749287749287749,1.0,0.8771084337349397,,0.6386430678466076,,0.7585567010309279,0.6999103217447029,0.7516626734132965
lug,recall,0.44,0.9504702194357367,0.5307692307692308,0.597051597051597,0.8480662983425414,0.60790273556231,,0.8293838862559242,0.7846607669616519,0.9444444444444444,0.0,0.6119235095613048,0.9905992949471211,0.8921568627450981,,0.5597931480284422,,0.7585567010309279,0.6848015710075288,0.7585567010309279
lug,f1-score,0.5315436241610738,0.8263832106841101,0.6133333333333334,0.6344647519582246,0.8365122615803815,0.6051437216338881,,0.7987551867219919,0.7904903417533432,0.8095238095238096,0.0,0.6838466373350094,0.9952774498229044,0.8845686512758202,,0.5966241818808129,,0.7585567010309279,0.686176225833193,0.7497326695558184
lug,support,450.0,1595.0,130.0,407.0,362.0,329.0,,2321.0,339.0,18.0,54.0,889.0,851.0,408.0,,1547.0,,0.7585567010309279,9700.0,9700.0
xho,precision,0.6265560165975104,0.7591623036649214,0.9,0.0,0.7754491017964071,0.0,0.0,0.49380037197768134,0.8571428571428571,,0.6323119777158774,0.5127020785219399,0.9953020134228188,0.5714285714285714,0.0,0.53737658674189,,0.6076520668786543,0.5107487919340317,0.6250395834474268
xho,recall,0.26773049645390073,0.35108958837772397,0.06164383561643835,0.0,0.7708333333333334,0.0,0.0,0.6866379310344828,0.18181818181818182,,0.5761421319796954,0.5068493150684932,0.9886666666666667,0.2857142857142857,0.0,0.5351123595505618,,0.6076520668786543,0.34748254170758425,0.6076520668786543
xho,f1-score,0.3751552795031057,0.48013245033112584,0.11538461538461538,0.0,0.773134328358209,0.0,0.0,0.5744680851063829,0.30000000000000004,,0.602921646746348,0.5097588978185994,0.9919732441471572,0.38095238095238093,0.0,0.5362420830401126,,0.6076520668786543,0.3760082007592025,0.5973593050882303
xho,support,564.0,413.0,146.0,6.0,336.0,52.0,2.0,2320.0,99.0,,394.0,1752.0,1500.0,28.0,1.0,2136.0,,0.6076520668786543,9749.0,9749.0
kin,precision,0.8247422680412371,0.9521776259607173,0.8153846153846154,0.0,0.9568764568764568,0.9302325581395349,,0.8258156028368794,0.8685446009389671,0.6956521739130435,0.6917736896910794,0.7253948967193196,1.0,0.9090909090909091,0.0,0.7230179028132993,0.0,0.8207891637220259,0.6824189562753786,0.822294531503524
kin,recall,0.37383177570093457,0.9867256637168141,0.654320987654321,0.0,0.9867788461538461,0.9876543209876543,,0.8113154960981048,0.6727272727272727,0.8421052631578947,0.9458946369245372,0.405570652173913,0.9996246246246246,0.9401709401709402,0.0,0.7388917929952954,0.0,0.8207891637220259,0.6466007670678846,0.8207891637220259
kin,f1-score,0.5144694533762058,0.9691438504997827,0.726027397260274,0.0,0.9715976331360946,0.9580838323353293,,0.8185013355827357,0.7581967213114754,0.761904761904762,0.7991178829190057,0.5202614379084968,0.9998122770790313,0.9243697478991597,0.0,0.7308686659772492,0.0,0.8207891637220259,0.6532721873243501,0.8136880903502756
